local;cod;quant;dicofre
Agrochão;11E041201;36;041201
Vila Boa de Ousilhão;11E041229;36;041229
União das freguesias de Maxial e Monte Redondo;16B111325;36;111325
Serro Ventoso;16F101613;36;101613
Pepim;16G180317;36;180317
União das freguesias de Vila Cova do Covelo/Mareco;16G181115;36;181115
Sul;16G181616;36;181616
União das freguesias de Santa Cruz da Trapa e São Cristóvão de Lafões;16G181621;36;181621
Sátão;16G181710;36;181710
Ventosa;16G182411;36;182411
União das freguesias de Sobreira Formosa e Alvito da Beira;16H050808;36;050808
São Paio;16J090617;36;090617
Arneiro das Milhariças;185141608;36;141608
União das freguesias de Mazedo e Cortes;111160436;35;160436
União das freguesias do Vade;112031369;35;031369
União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;119030737;35;030737
União de freguesias de Moreira do Rei e Várzea Cova;119030744;35;030744
Trofa;11A1318;35;1A1318
Moreiras;11B170317;35;170317
Padrela e Tazem;11B171215;35;171215
Sonim e Barreiros;11B171234;35;171234
União das freguesias de Caçarilhe e Infesta;11C030524;35;030524
São Cristóvão de Nogueira;11C180413;35;180413
Touça;11D091416;35;091416
Ventosa;16B111318;35;111318
Sever do Vouga;16D0117;35;6D0117
Pala;16E180807;35;180807
Serra de Santo António;16I140209;35;140209
Castelo;16I050903;35;050903
Codesseiro;16J090714;35;090714
Jarmelo São Pedro;16J090760;35;090760
União das freguesias de Ruvina, Ruivós e Vale das Éguas;16J091144;35;091144
Pernes;185141614;35;141614
Infesta;111160510;34;160510
Rubiães;111160520;34;160520
União de freguesias de Monte e Queimadela;119030743;34;030743
Vreia de Bornes;11B171315;34;171315
Andrães;11D171403;34;171403
Sambade;11E040111;34;040111
Roliça;16B100503;34;100503
Nazaré;16B1011;34;6B1011
Avô;16E061103;34;061103
Cumeeira;16E061401;34;061401
Milagres;16F100915;34;100915
São Pedro de Rio Seco;16J090224;34;090224
Valhelhas;16J090747;34;090747
Vela;16J090748;34;090748
União das freguesias de Algoz e Tunes;150081310;34;081310
Miranda;111160121;33;160121
Arões;11A011901;33;011901
Cinfães;11C180403;33;180403
Paus;11C181310;33;181310
União das freguesias de Parada e Sendim da Ribeira;11E040125;33;040125
União das freguesias de Caldas da Rainha - Nossa Senhora do Pópulo, Coto e São Gregório;16B100617;33;100617
União das freguesias de Monte Redondo e Carreira;16F100936;33;100936
Carnide;16F101504;33;101504
Cota;16G182310;33;182310
União das freguesias de Alcanena e Vila Moreira;16I140211;33;140211
Chancelaria;16I141904;33;141904
União das freguesias de Olaia e Paço;16I141919;33;141919
Baraçal;16J090302;33;090302
Lameiras;16J091013;33;091013
Fóios;16J091114;33;091114
União das freguesias de Luz de Tavira e Santo Estêvão;150081411;33;081411
